;Death_coefficients;Death_Std_Error;Death_z;Death_pval;Reinfection_coefficients;Reinfection_Std_Error;Reinfection_z;Reinfection_pval
const;-2,294817149;0,444554322;-5,162062402;2,44244E-07;-1,096009066;0,360328532;-3,04169381;0,002352511
Metronidazole;-0,24164922;0,779975726;-0,309816333;0,75670063;-0,23931372;0,791698637;-0,302278807;0,762439533
Vancomycin;1,495228339;0,5426353;2,755494047;0,005860357;0,80184706;0,494676755;1,620951566;0,105028026
Clindamycin;-0,315795566;1,190589398;-0,265243052;0,790822231;0,970891551;0,944353402;1,028101926;0,303901885
Penicillins;0,34155346;0,398290402;0,857548811;0,391141651;-0,56657352;0,394866734;-1,434847432;0,151330578
Cephalosporins;0,046593297;0,346120553;0,134615805;0,892915645;-0,052153853;0,331662439;-0,157249801;0,875047981
Carbapenems;-0,209331573;0,399157012;-0,524434161;0,599976601;-0,56444236;0,381041767;-1,481313622;0,13852302
Macrolides;-0,781240666;0,664194757;-1,176222272;0,239506067;-0,053926857;0,515278854;-0,104655676;0,916649034
Fluoroquinolones;-0,186606176;0,456800621;-0,408506835;0,682901614;-1,020436263;0,462817338;-2,204835861;0,027465615
Aminoglycosides;-2,127921242;1,142398237;-1,862679032;0,062507438;1,068917804;0,727292767;1,469721482;0,141637202
Infectious disease;0,20361476;0,369103634;0,551646589;0,58119051;-0,166881259;0,348385952;-0,479012597;0,631929667
Cancer;1,034797116;0,471177268;2,196194906;0,028077996;-0,756533233;0,519998255;-1,454876483;0,145703459
Heart failure;0,147326304;0,402806395;0,365749665;0,714551883;-0,681312481;0,394899237;-1,725281838;0,084476693
Liver disease;1,314460018;0,739159824;1,778316373;0,075351909;-0,424524903;0,760156894;-0,558470109;0,57652341
Hematologic disease;-0,066369411;0,820321052;-0,080906629;0,935516208;-0,487063662;0,912836629;-0,533571558;0,593637991
High creatinine;1,206525712;0,455693694;2,647668223;0,008104902;1,049482324;0,440640242;2,381721466;0,017231926
Hypervirulent ribotype;0,047412857;0,36116565;0,131277314;0,895555937;1,202193452;0,33397966;3,599600798;0,000318706
ICD severity;1,917422635;0,480413376;3,99119327;6,57417E-05;-0,490344327;0,431367649;-1,136720217;0,255655265
Chemotherapy;0,619141416;0,581693085;1,064378161;0,287157423;0,803597746;0,65656139;1,223949137;0,220971416
Prior hospitalization;0,039679843;0,448108208;0,088549689;0,929439793;0,266047364;0,416726913;0,638421365;0,523199427
